Token,is_Stop_Word,Lemmatized,Tag,Tag Explanation,Part of Speech Tag,Dependency Parsing
-,False,-,HYPH,"punctuation mark, hyphen",PUNCT,punct
torn,False,tear,VBN,"verb, past participle",VERB,amod
Sudan,False,Sudan,NNP,"noun, proper singular",PROPN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
A,True,a,DT,determiner,DET,det
woman,False,woman,NN,"noun, singular or mass",NOUN,nsubj
",",False,",",",","punctuation mark, comma",PUNCT,punct
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
late,False,late,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
stages,False,stage,NNS,"noun, plural",NOUN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
pregnancy,False,pregnancy,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
lay,False,lie,VBD,"verb, past tense",VERB,ROOT
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
backseat,False,backseat,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
lifeless,False,lifeless,NN,"noun, singular or mass",NOUN,conj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
soaked,False,soak,VBD,"verb, past tense",VERB,conj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
blood,False,blood,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
Her,True,her,PRP$,"pronoun, possessive",PRON,poss
children,False,child,NNS,"noun, plural",NOUN,nsubj
wailed,False,wail,VBD,"verb, past tense",VERB,ROOT
at,True,at,IN,"conjunction, subordinating or preposition",ADP,prep
her,True,her,PRP$,"pronoun, possessive",PRON,poss
feet,False,foot,NNS,"noun, plural",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
“,False,"""",``,opening quotation mark,PUNCT,punct
I,True,I,PRP,"pronoun, personal",PRON,nsubj
sat,False,sit,VBD,"verb, past tense",VERB,ccomp
next,True,next,RB,adverb,ADV,advmod
to,True,to,IN,"conjunction, subordinating or preposition",ADP,prep
her,True,she,PRP,"pronoun, personal",PRON,pobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
car,False,car,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
”,False,"""",'',closing quotation mark,PUNCT,punct
said,False,say,VBD,"verb, past tense",VERB,ROOT
Butheina,False,Butheina,NNP,"noun, proper singular",PROPN,compound
Nourin,False,Nourin,NNP,"noun, proper singular",PROPN,nsubj
",",False,",",",","punctuation mark, comma",PUNCT,punct
describing,False,describe,VBG,"verb, gerund or present participle",VERB,advcl
her,True,her,PRP$,"pronoun, possessive",PRON,poss
perilous,False,perilous,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
escape,False,escape,NN,"noun, singular or mass",NOUN,dobj
from,True,from,IN,"conjunction, subordinating or preposition",ADP,prep
Sudan,False,Sudan,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
Darfur,False,Darfur,NNP,"noun, proper singular",PROPN,compound
region,False,region,NN,"noun, singular or mass",NOUN,pobj
alongside,False,alongside,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
dead,False,dead,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
woman,False,woman,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
“,False,"""",``,opening quotation mark,PUNCT,punct
Her,True,her,PRP$,"pronoun, possessive",PRON,poss
name,True,name,NN,"noun, singular or mass",NOUN,nsubj
was,True,be,VBD,"verb, past tense",AUX,ROOT
Fatima,False,Fatima,NNP,"noun, proper singular",PROPN,attr
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
I,True,I,PRP,"pronoun, personal",PRON,nsubj
do,True,do,VBP,"verb, non-3rd person singular present",AUX,aux
n’t,True,not,RB,adverb,PART,neg
know,False,know,VB,"verb, base form",VERB,ROOT
her,True,her,PRP$,"pronoun, possessive",PRON,poss
surname,False,surname,NN,"noun, singular or mass",NOUN,dobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
”,False,"""",'',closing quotation mark,PUNCT,punct
" 
     
            ",False," 
     
            ",_SP,whitespace,SPACE,dep
Fighters,False,fighter,NNS,"noun, plural",NOUN,nsubj
from,True,from,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
powerful,False,powerful,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
Sudanese,False,sudanese,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
paramilitary,False,paramilitary,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
group,False,group,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
the,True,the,DT,determiner,DET,det
Rapid,False,Rapid,NNP,"noun, proper singular",PROPN,compound
Support,False,Support,NNP,"noun, proper singular",PROPN,compound
Forces,False,Forces,NNPS,"noun, proper plural",PROPN,appos
(,False,(,-LRB-,left round bracket,PUNCT,punct
RSF,False,RSF,NNP,"noun, proper singular",PROPN,appos
),False,),-RRB-,right round bracket,PUNCT,punct
",",False,",",",","punctuation mark, comma",PUNCT,punct
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
their,True,their,PRP$,"pronoun, possessive",PRON,poss
armed,False,armed,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
allies,False,ally,NNS,"noun, plural",NOUN,nsubj
manned,False,man,VBD,"verb, past tense",VERB,ccomp
checkpoints,False,checkpoint,NNS,"noun, plural",NOUN,dobj
along,True,along,IN,"conjunction, subordinating or preposition",ADP,prep
their,True,their,PRP$,"pronoun, possessive",PRON,poss
route,False,route,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
Nourin,False,Nourin,NNP,"noun, proper singular",PROPN,nsubj
said,False,say,VBD,"verb, past tense",VERB,ROOT
",",False,",",",","punctuation mark, comma",PUNCT,punct
demanding,False,demand,VBG,"verb, gerund or present participle",VERB,advcl
money,False,money,NN,"noun, singular or mass",NOUN,dobj
from,True,from,IN,"conjunction, subordinating or preposition",ADP,prep
every,True,every,DT,determiner,DET,det
passenger,False,passenger,NN,"noun, singular or mass",NOUN,pobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
exchange,False,exchange,NN,"noun, singular or mass",NOUN,pobj
for,True,for,IN,"conjunction, subordinating or preposition",ADP,prep
safe,False,safe,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
passage,False,passage,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
" 
     
            ",False," 
     
            ",_SP,whitespace,SPACE,dep
This,True,this,DT,determiner,DET,det
brutal,False,brutal,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
method,False,method,NN,"noun, singular or mass",NOUN,nsubj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
extortion,False,extortion,NN,"noun, singular or mass",NOUN,pobj
has,True,have,VBZ,"verb, 3rd person singular present",AUX,aux
become,True,become,VBN,"verb, past participle",VERB,ROOT
widespread,False,widespread,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,acomp
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
Darfur,False,Darfur,NNP,"noun, proper singular",PROPN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
according,False,accord,VBG,"verb, gerund or present participle",VERB,prep
to,True,to,IN,"conjunction, subordinating or preposition",ADP,prep
dozens,False,dozen,NNS,"noun, plural",NOUN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
witnesses,False,witness,NNS,"noun, plural",NOUN,pobj
who,True,who,WP,"wh-pronoun, personal",PRON,nsubj
recounted,False,recount,VBD,"verb, past tense",VERB,relcl
similar,False,similar,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
incidents,False,incident,NNS,"noun, plural",NOUN,dobj
to,True,to,IN,"conjunction, subordinating or preposition",ADP,prep
CNN,False,CNN,NNP,"noun, proper singular",PROPN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
The,True,the,DT,determiner,DET,det
vast,False,vast,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
western,False,western,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
region,False,region,NN,"noun, singular or mass",NOUN,nsubj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
Sudan,False,Sudan,NNP,"noun, proper singular",PROPN,pobj
is,True,be,VBZ,"verb, 3rd person singular present",AUX,ROOT
the,True,the,DT,determiner,DET,det
site,False,site,NN,"noun, singular or mass",NOUN,attr
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
what,True,what,WP,"wh-pronoun, personal",PRON,nsubjpass
has,True,have,VBZ,"verb, 3rd person singular present",AUX,aux
been,True,be,VBN,"verb, past participle",AUX,auxpass
widely,False,widely,RB,adverb,ADV,advmod
described,False,describe,VBN,"verb, past participle",VERB,pcomp
as,True,as,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
21st,False,21st,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
century,False,century,NN,"noun, singular or mass",NOUN,poss
’s,True,’s,POS,possessive ending,PART,case
first,True,first,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
genocide,False,genocide,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
with,True,with,IN,"conjunction, subordinating or preposition",ADP,prep
largely,False,largely,RB,adverb,ADV,advmod
Arab,False,arab,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
militias,False,militia,NNS,"noun, plural",NOUN,nsubj
systematically,False,systematically,RB,adverb,ADV,advmod
killing,False,kill,VBG,"verb, gerund or present participle",VERB,pcomp
non,False,non,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
-,False,-,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
Arab,False,arab,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
African,False,african,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
groups,False,group,NNS,"noun, plural",NOUN,dobj
who,True,who,WP,"wh-pronoun, personal",PRON,nsubj
make,True,make,VBP,"verb, non-3rd person singular present",VERB,relcl
up,True,up,RP,"adverb, particle",ADP,prt
the,True,the,DT,determiner,DET,det
majority,False,majority,NN,"noun, singular or mass",NOUN,dobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
local,False,local,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
population,False,population,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
A,True,a,DT,determiner,DET,det
growing,False,grow,VBG,"verb, gerund or present participle",VERB,amod
body,False,body,NN,"noun, singular or mass",NOUN,nsubj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
evidence,False,evidence,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
including,False,include,VBG,"verb, gerund or present participle",VERB,prep
first,True,first,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
-,False,-,HYPH,"punctuation mark, hyphen",PUNCT,punct
hand,False,hand,NN,"noun, singular or mass",NOUN,compound
accounts,False,account,NNS,"noun, plural",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
expert,False,expert,NN,"noun, singular or mass",NOUN,compound
testimony,False,testimony,NN,"noun, singular or mass",NOUN,conj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
verified,False,verify,VBD,"verb, past tense",VERB,amod
social,False,social,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
media,False,medium,NNS,"noun, plural",NOUN,compound
video,False,video,NN,"noun, singular or mass",NOUN,conj
",",False,",",",","punctuation mark, comma",PUNCT,punct
suggests,False,suggest,VBZ,"verb, 3rd person singular present",VERB,ROOT
that,True,that,IN,"conjunction, subordinating or preposition",SCONJ,mark
the,True,the,DT,determiner,DET,det
RSF,False,RSF,NNP,"noun, proper singular",PROPN,nsubj
has,True,have,VBZ,"verb, 3rd person singular present",AUX,aux
revived,False,revive,VBN,"verb, past participle",VERB,ccomp
those,True,those,DT,determiner,DET,det
tactics,False,tactic,NNS,"noun, plural",NOUN,dobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
Darfur,False,Darfur,NNP,"noun, proper singular",PROPN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
exported,False,export,VBD,"verb, past tense",VERB,conj
them,True,they,PRP,"pronoun, personal",PRON,dobj
to,True,to,IN,"conjunction, subordinating or preposition",ADP,prep
other,True,other,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
parts,False,part,NNS,"noun, plural",NOUN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
Sudan,False,Sudan,NNP,"noun, proper singular",PROPN,pobj
as,True,as,IN,"conjunction, subordinating or preposition",SCONJ,mark
it,True,it,PRP,"pronoun, personal",PRON,nsubj
fights,False,fight,VBZ,"verb, 3rd person singular present",VERB,advcl
a,True,a,DT,determiner,DET,det
war,False,war,NN,"noun, singular or mass",NOUN,dobj
with,True,with,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
country,False,country,NN,"noun, singular or mass",NOUN,poss
’s,True,’s,POS,possessive ending,PART,case
military,False,military,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
" 
     
            ",False," 
     
            ",_SP,whitespace,SPACE,dep
Since,True,since,IN,"conjunction, subordinating or preposition",SCONJ,prep
mid,False,mid,NNP,"noun, proper singular",PROPN,pobj
-,False,-,NNP,"noun, proper singular",PROPN,pobj
April,False,April,NNP,"noun, proper singular",PROPN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
Sudan,False,Sudan,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
army,False,army,NN,"noun, singular or mass",NOUN,compound
chief,False,chief,NN,"noun, singular or mass",NOUN,compound
Abdul,False,Abdul,NNP,"noun, proper singular",PROPN,compound
Fattah,False,Fattah,NNP,"noun, proper singular",PROPN,compound
al,False,al,NNP,"noun, proper singular",PROPN,compound
-,False,-,HYPH,"punctuation mark, hyphen",PUNCT,punct
Burhan,False,Burhan,NNP,"noun, proper singular",PROPN,nsubj
has,True,have,VBZ,"verb, 3rd person singular present",AUX,aux
largely,False,largely,RB,adverb,ADV,advmod
waged,False,wage,VBN,"verb, past participle",VERB,ROOT
his,True,his,PRP$,"pronoun, possessive",PRON,poss
offensive,False,offensive,NN,"noun, singular or mass",NOUN,dobj
from,True,from,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
sky,False,sky,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
aerially,False,aerially,RB,adverb,ADV,advmod
bombarding,False,bombard,VBG,"verb, gerund or present participle",VERB,advcl
RSF,False,RSF,NNP,"noun, proper singular",PROPN,compound
positions,False,position,NNS,"noun, plural",NOUN,dobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
residential,False,residential,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
areas,False,area,NNS,"noun, plural",NOUN,pobj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
inflicting,False,inflict,VBG,"verb, gerund or present participle",VERB,conj
a,True,a,DT,determiner,DET,det
civilian,False,civilian,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
death,False,death,NN,"noun, singular or mass",NOUN,compound
toll,False,toll,NN,"noun, singular or mass",NOUN,dobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
Meanwhile,True,meanwhile,RB,adverb,ADV,advmod
",",False,",",",","punctuation mark, comma",PUNCT,punct
RSF,False,RSF,NNP,"noun, proper singular",PROPN,compound
chief,False,chief,NN,"noun, singular or mass",NOUN,compound
Mohamed,False,Mohamed,NNP,"noun, proper singular",PROPN,compound
Hamdan,False,Hamdan,NNP,"noun, proper singular",PROPN,compound
Dagalo,False,Dagalo,NNP,"noun, proper singular",PROPN,nsubj
(,False,(,-LRB-,left round bracket,PUNCT,punct
Hemedti,False,Hemedti,NNP,"noun, proper singular",PROPN,appos
),False,),-RRB-,right round bracket,PUNCT,punct
has,True,have,VBZ,"verb, 3rd person singular present",AUX,aux
strengthened,False,strengthen,VBN,"verb, past participle",VERB,ccomp
his,True,his,PRP$,"pronoun, possessive",PRON,poss
tactical,False,tactical,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
military,False,military,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
positions,False,position,NNS,"noun, plural",NOUN,dobj
by,True,by,IN,"conjunction, subordinating or preposition",ADP,prep
driving,False,drive,VBG,"verb, gerund or present participle",VERB,pcomp
civilians,False,civilian,NNS,"noun, plural",NOUN,dobj
out,True,out,IN,"conjunction, subordinating or preposition",ADP,prep
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
their,True,their,PRP$,"pronoun, possessive",PRON,poss
properties,False,property,NNS,"noun, plural",NOUN,pobj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
employing,False,employ,VBG,"verb, gerund or present participle",VERB,conj
the,True,the,DT,determiner,DET,det
well,True,well,RB,adverb,ADV,advmod
-,False,-,HYPH,"punctuation mark, hyphen",PUNCT,punct
worn,False,wear,VBN,"verb, past participle",VERB,amod
playbook,False,playbook,NN,"noun, singular or mass",NOUN,dobj
developed,False,develop,VBN,"verb, past participle",VERB,acl
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
Darfur,False,Darfur,NNP,"noun, proper singular",PROPN,pobj
:,False,:,:,"punctuation mark, colon or ellipsis",PUNCT,punct
Kill,False,kill,VB,"verb, base form",VERB,ROOT
",",False,",",",","punctuation mark, comma",PUNCT,punct
terrorize,False,terrorize,VB,"verb, base form",VERB,conj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
expel,False,expel,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,conj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
Fatima,False,Fatima,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
story,False,story,NN,"noun, singular or mass",NOUN,nsubj
is,True,be,VBZ,"verb, 3rd person singular present",AUX,ROOT
just,True,just,RB,adverb,ADV,advmod
one,True,one,CD,cardinal number,NUM,nummod
example,False,example,NN,"noun, singular or mass",NOUN,attr
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
Eyewitnesses,False,eyewitness,NNS,"noun, plural",NOUN,nsubj
recalled,False,recall,VBD,"verb, past tense",VERB,ROOT
that,True,that,IN,"conjunction, subordinating or preposition",SCONJ,mark
",",False,",",",","punctuation mark, comma",PUNCT,punct
by,True,by,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
time,False,time,NN,"noun, singular or mass",NOUN,pobj
the,True,the,DT,determiner,DET,det
car,False,car,NN,"noun, singular or mass",NOUN,nsubj
carrying,False,carry,VBG,"verb, gerund or present participle",VERB,acl
her,True,she,PRP,"pronoun, personal",PRON,dobj
arrived,False,arrive,VBD,"verb, past tense",VERB,relcl
at,True,at,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
last,True,last,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
RSF,False,RSF,NNP,"noun, proper singular",PROPN,compound
positions,False,position,NNS,"noun, plural",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
she,True,she,PRP,"pronoun, personal",PRON,nsubj
had,True,have,VBD,"verb, past tense",AUX,aux
run,False,run,VBN,"verb, past participle",VERB,ccomp
out,True,out,IN,"conjunction, subordinating or preposition",ADP,prep
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
cash,False,cash,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
Only,True,only,RB,adverb,ADV,advmod
a,True,a,DT,determiner,DET,quantmod
few,True,few,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,nummod
kilometers,False,kilometer,NNS,"noun, plural",NOUN,nsubj
separated,False,separate,VBD,"verb, past tense",VERB,ROOT
her,True,she,PRP,"pronoun, personal",PRON,dobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
her,True,her,PRP$,"pronoun, possessive",PRON,poss
two,True,two,CD,cardinal number,NUM,nummod
children,False,child,NNS,"noun, plural",NOUN,appos
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
her,True,her,PRP$,"pronoun, possessive",PRON,poss
unborn,False,unborn,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
child,False,child,NN,"noun, singular or mass",NOUN,conj
from,True,from,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
safety,False,safety,NN,"noun, singular or mass",NOUN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
Chad,False,Chad,NNP,"noun, proper singular",PROPN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
" 
     
            ",False," 
     
            ",_SP,whitespace,SPACE,dep
“,False,"""",``,opening quotation mark,PUNCT,punct
She,True,she,PRP,"pronoun, personal",PRON,nsubj
told,False,tell,VBD,"verb, past tense",VERB,ccomp
the,True,the,DT,determiner,DET,det
fighters,False,fighter,NNS,"noun, plural",NOUN,dobj
she,True,she,PRP,"pronoun, personal",PRON,nsubj
had,True,have,VBD,"verb, past tense",AUX,aux
spent,False,spend,VBN,"verb, past participle",VERB,relcl
all,True,all,DT,determiner,DET,det
her,True,her,PRP$,"pronoun, possessive",PRON,poss
money,False,money,NN,"noun, singular or mass",NOUN,dobj
at,True,at,IN,"conjunction, subordinating or preposition",ADP,prep
other,True,other,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
checkpoints,False,checkpoint,NNS,"noun, plural",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
”,False,"""",'',closing quotation mark,PUNCT,punct
eyewitness,False,eyewitness,NN,"noun, singular or mass",NOUN,compound
Nourin,False,Nourin,NNP,"noun, proper singular",PROPN,nsubj
said,False,say,VBD,"verb, past tense",VERB,ROOT
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
“,False,"""",``,opening quotation mark,PUNCT,punct
They,True,they,PRP,"pronoun, personal",PRON,nsubj
shot,False,shoot,VBD,"verb, past tense",VERB,ROOT
her,True,she,PRP,"pronoun, personal",PRON,dobj
immediately,False,immediately,RB,adverb,ADV,advmod
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
“,False,"""",``,opening quotation mark,PUNCT,punct
The,True,the,DT,determiner,DET,det
bullet,False,bullet,NN,"noun, singular or mass",NOUN,nsubj
went,False,go,VBD,"verb, past tense",VERB,ROOT
through,True,through,IN,"conjunction, subordinating or preposition",ADP,prep
one,True,one,CD,cardinal number,NUM,nummod
side,True,side,NN,"noun, singular or mass",NOUN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
her,True,her,PRP$,"pronoun, possessive",PRON,poss
head,False,head,NN,"noun, singular or mass",NOUN,pobj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
exited,False,exit,VBD,"verb, past tense",VERB,conj
the,True,the,DT,determiner,DET,det
other,True,other,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,dobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
We,True,we,PRP,"pronoun, personal",PRON,nsubj
all,True,all,DT,determiner,PRON,appos
screamed,False,scream,VBD,"verb, past tense",VERB,ROOT
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
”,False,"""",'',closing quotation mark,PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
The,True,the,DT,determiner,DET,det
interest,False,interest,NN,"noun, singular or mass",NOUN,nsubj
",",False,",",",","punctuation mark, comma",PUNCT,punct
influence,False,influence,NN,"noun, singular or mass",NOUN,conj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
material,False,material,NN,"noun, singular or mass",NOUN,compound
support,False,support,NN,"noun, singular or mass",NOUN,conj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
Russia,False,Russia,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
notorious,False,notorious,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
paramilitary,False,paramilitary,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
group,False,group,NN,"noun, singular or mass",NOUN,compound
Wagner,False,Wagner,NNP,"noun, proper singular",PROPN,pobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
